category_id,is_active,position,level,parent_id,name,url_key,description,created_at,updated_at,children_count,include_in_menu
131,0,1,5,129,"M Series",m-series,,2020-01-16T17:01:51+00:00,"2021-10-29 16:30:08",0,1
132,0,3,4,123,Accessory,accessory,,2020-01-17T15:17:42+00:00,"2020-05-12 11:47:55",0,1
133,0,5,5,125,"8 Series",8-series,,2020-02-12T12:28:44+00:00,"2021-01-11 10:46:16",0,1
134,0,7,1,1,"Cycling Navigation",cycling-navigation,,2020-03-30T10:29:37+01:00,"2020-03-30 09:29:37",0,1
135,1,1,5,18,"Cyclo Discover Series",cyclo-discover-series,,2020-04-13T12:46:41+01:00,"2021-08-06 13:51:25",0,1
136,0,3,4,50,"Legacy PND",legacy-pnd,,2020-04-15T12:38:13+01:00,"2020-04-15 14:58:56",0,1
137,1,2,5,18,"Cyclo 200 Series",cyclo-200-series,,2020-04-21T12:53:13+01:00,"2021-03-09 09:25:33",0,1
138,1,3,5,18,"Cyclo 400 Series",cyclo-400-series,,2020-04-21T12:56:58+01:00,"2020-04-21 13:25:54",0,1
139,1,4,5,18,"Cyclo 600 Series",cyclo-600-series,,2020-04-21T12:57:45+01:00,"2020-04-21 13:27:04",0,1
140,0,4,4,123,"Legacy Products",legacy-products,,2020-05-12T14:19:56+01:00,"2020-05-12 16:31:17",0,1
141,0,8,1,1,MioEYE™,mioeyetm,,2020-09-11T15:16:41+01:00,"2021-01-13 16:16:38",1,1
142,0,15,5,6,"ViVa Series",viva-series,,2020-09-17T17:44:32+01:00,"2020-11-05 11:44:09",0,1
143,0,1,2,141,"Fleet Cameras ",fleet-cameras,,2020-10-05T23:21:37+01:00,"2021-05-10 09:48:03",0,1
145,0,2,4,9,"Legacy Products",legacy-products,,2021-01-12T14:10:45+00:00,"2021-01-14 10:58:19",0,1
146,1,1,3,34,"A500s Series",a500s-series,"The MioWORK™ A500s Series is a rugged handheld computer designed for a wide range of enterprise-grade applications.",2021-02-24T14:05:27+00:00,"2021-03-18 10:19:12",0,1
147,0,16,5,6,"R Series",r-series,,2021-03-03T14:02:44+00:00,"2021-08-04 09:39:07",0,1
148,1,17,5,6,"D Series",d-series,,2021-11-12T11:06:55+00:00,"2021-11-12 11:10:45",0,1
149,1,9,1,1,MioServ™,mioservtm,,2024-01-12T15:04:41+00:00,"2024-02-15 11:41:10",4,1
150,1,1,2,149,"Smart Kiosks",smart-kiosks,"MioSERV™ smart kiosks, designed for retail, quick-service restaurants, hospitality, and healthcare, offer Android or Windows systems and versatile peripheral expansion. Elevate operational efficiency and redefine customer experiences with our premier smart kiosk solutions.",2024-02-15T10:49:50+00:00,"2024-03-01 13:11:07",0,1
151,1,5,2,57,MioSERV,mioserv,,2024-02-15T15:31:58+00:00,"2024-02-16 13:44:10",0,1
152,1,4,2,149,"Latest Products",latest-products,,2024-02-20T09:33:39+00:00,"2024-03-05 14:36:24",0,1
153,1,2,2,149,"Mobile POS",mobile-pos,"MioSERV™ Mobile POS tablets offer exceptional versatility, cost-effectiveness, and seamless scalability. Break free from the constraints of outdated, single-purpose devices and inflexible POS systems. Instead empower your teams to prioritize what matters most: delivering exceptional customer experiences.",2024-02-27T17:23:25+00:00,"2024-02-27 17:47:26",0,1
154,1,3,2,149,"POS Box PCs",pos-box-pcs,"MioSERV™ P Series are compact Box PC solutions with ample I/O capabilities, ready to seamlessly tackle diverse roles in Retail and Hospitality environments that demand high-performance Android or Windows platforms. Designed in a discreet package for easy out-of-sight installation, the MioSERV™ P Series is key to maximizing store productivity.",2024-02-27T17:44:53+00:00,"2024-02-29 16:52:22",0,1
